DATO,VARE,KATEGORI,ANTAL,ENHEDSPRIS,BUTIK,PERSON,IALT
25/03/2024,Rød peberfrugt,Frugt/grønt,1,22.00,Føtex,Camille,22.00
25/03/2024,Gulerødder,Frugt/grønt,1,14.00,Føtex,Camille,14.00
25/03/2024,Soltørrede tomater,Kolonial,1,21.00,Føtex,Camille,21.00
25/03/2024,Tortillini,Kolonial,1,13.00,Føtex,Camille,13.00
25/03/2024,Kokosmælk,Kolonial,1,16.00,Føtex,Camille,16.00
25/03/2024,Mozzarella,Mejeri,1,8.50,Føtex,Camille,8.50
25/03/2024,Cashewnødder,Kolonial,1,16.00,Føtex,Camille,16.00
25/03/2024,Tomat puré,Kolonial,1,5.00,Føtex,Camille,5.00
25/03/2024,Fløde,Mejeri,1,13.50,Føtex,Camille,13.50
25/03/2024,Madlavningsfløde,Mejeri,1,8.95,Rema 1000,Isabella,8.95
25/03/2024,Mozzarella ,Mejeri,2,8.50,Rema 1000,Isabella,17.00
25/03/2024,Cheasy vanilje yoghurt ,Mejeri,1,20.95,Rema 1000,Isabella,20.95
25/03/2024,Let mornaysauce,Kolonial,1,17.95,Rema 1000,Isabella,17.95
25/03/2024,Agurk,Frugt/grønt,1,8.00,Rema 1000,Isabella,8.00
25/03/2025,Rød peber,Frugt/grønt,1,7.25,Rema 1000,Isabella,7.25
25/03/2024,Cherryblommetomat,Frugt/grønt,2,10.00,Rema 1000,Isabella,20.00
25/03/2028,Salat mix,Frugt/grønt,1,8.00,Rema 1000,Isabella,8.00
25/03/2024,Finthakkede skinkesalat ,Kød,1,10.00,Rema 1000,Isabella,10.00
25/03/2024,Bananer ,Frugt/grønt,1,8.80,Rema 1000,Isabella,8.80
25/03/2024,Ben & Jerrys Marshmellow,Frost,1,69.00,Shop'n'Play,Jonathan,69.00
25/03/2024,Barebells Meal Shake,Mejeri,1,25.00,Shop'n'Play,Jonathan,25.00
26/03/2024,Mellemlagret ost,Mejeri,3,20.00,365,Jonathan,60.00
