DATO,VARE,KATEGORI,ANTAL,ENHEDSPRIS,BUTIK,PERSON,I ALT
mandag,Cashewnødder,Kolonial,1,16.00,Føtex,Camille,16.00
mandag,Tomat puré,Kolonial,1,5.00,Føtex,Camille,5.00
mandag,Fløde,Mejeri,1,13.50,Føtex,Camille,13.50
mandag,Madlavningsfløde,Mejeri,1,8.95,Rema 1000,Isabella,8.95
mandag,Mozzarella ,Mejeri,2,8.50,Rema 1000,Isabella,17.00
mandag,Cheasy vanilje yoghurt ,Mejeri,1,20.95,Rema 1000,Isabella,20.95
mandag,Let mornaysauce,Kolonial,1,17.95,Rema 1000,Isabella,17.95
mandag,Agurk,Frugt/grønt,1,8.00,Rema 1000,Isabella,8.00
tirsdag,Rød peber,Frugt/grønt,1,7.25,Rema 1000,Isabella,7.25
mandag,Cherryblommetomat,Frugt/grønt,2,10.00,Rema 1000,Isabella,20.00
lørdag,Salat mix,Frugt/grønt ,1,8.00,Rema 1000,Isabella,8.00
mandag,Finthakkede skinkesalat ,Kød,1,10.00,Rema 1000,Isabella,10.00
mandag,Bananer ,Frugt/grønt,1,8.80,Rema 1000,Isabella,8.80
mandag,Ben & Jerrys Marshmellow,Frost,1,69.00,Shop'n'Play,Jonathan,69.00
mandag,Barebells Meal Shake,Mejeri,1,25.00,Shop'n'Play,Jonathan,25.00
tirsdag,Mellemlagret ost,Mejeri,3,20.00,365,Jonathan,60.00
tirsdag,Jordbær Yoghurt,Mejeri,1,12.00,365,Jonathan,12.00
tirsdag,Islandsk Skyr 365,Mejeri,1,22.95,365,Jonathan,22.95
tirsdag,Crodots,Brød,2,7.00,Lidl,Jonathan,7.00
tirsdag,Jordbær Yoghurt,Mejeri,1,9.95,Lidl,Jonathan,9.00
tirsdag,Choko müsli,Kolonial,1,23.95,Lidl,Jonathan,23.95
tirsdag,Karamel Ispinde,Frost,1,25.00,Lidl,Jonathan,25.00
tirsdag,Ciabattabrød,Brød,1,6.25,365,Anna,6.25
tirsdag,Porrer,Frugt/ grønt,1,15.00,365,Anna,15.00
tirsdag,Kyllingebrystfilet,Kød,1,25.00,365,Anna,15.00
tirsdag,Bacontern,Kød,1,12.50,365,Anna,12.50
tirsdag,øko Kartofler,Frugt/grønt,1,10.00,365,Anna,10.00
tirsdag,Kærgården let,Mejeri,2,8.00,365,Anna,16.00
onsdag,Minimælk,Mejeri,1,11.00,Rema 1000,Isabella,11.00
onsdag,Fuldkorns lasagneplade,Kolonial,1,17.00,Rema 1000,Isabella,17.00
onsdag,Hakkede tomater / hvidløg,Kolonial,2,7.50,Rema 1000,Isabella,15.00
onsdag,Gouda aged,Mejeri,1,33.00,Rema 1000,Isabella,33.00
onsdag,Fettuccine spinat,Køl,1,10.00,Rema 1000,Isabella,10.00
onsdag,Bacon i skiver,Kød,1,15.00,Rema 1000,Isabella,15.00
onsdag,Cocktailpølser ,Kød,1,19.00,Rema 1000,Isabella,19.00
onsdag,Jordbær,Frost,1,13.00,Rema 1000,Isabella,13.00
onsdag,Fuldkorns rugbrød,Brød,1,14.75,Rema 1000,Isabella,14.75
onsdag,Gulerødder,Frugt/grønt,1,10.00,Rema 1000,Isabella,10.00
onsdag,Krabbesalat,Kød,1,10.00,Rema 1000,Isabella,10.00
onsdag,Faxe kondi,Alkohol/soda,1,28.95,365,Anna,28.95
torsdag,Matilde kakao,Mejeri,1,14.50,365,Anna,14.50
torsdag,Mørk chokolade,Snacks/slik,2,9.95,365,Anna,19.90
torsdag,Mælke chokolade,Snacks/slik,2,9.95,365,Anna,19.90
torsdag,Flagesalt,Kolonial,1,24.95,365,Anna,24.95
torsdag,Sandwich papir,Andet,1,13.50,365,Anna,13.50
torsdag,Oreo mini eggs,Snacks/slik,1,22.00,365,Anna,22.00
torsdag,Smør,Mejeri,1,15.95,365,Anna,15.95
torsdag,Øko æg,Køl,1,19.95,365,Anna,19.95
lørdag,Mozarella kugle,Mejeri,2,8.50,365,Anna,17.00
lørdag,Agurk,Frugt/grønt,1,10.00,365,Anna,10.00
lørdag,Salame Di Milano,Mejeri,1,13.95,365,Anna,13.95
mandag,Toiletpapir,Andet,1,20.95,365,Anna,20.95
mandag,Øko hvedemel,Kolonial,1,17.95,365,Anna,17.95
mandag,Matilde kakao,Mejeri,1,14.50,365,Anna,14.50
mandag,Øko bananer,Frugt/grønt,2,3.00,365,Anna,6.00
mandag,Smør,Mejeri,1,15.95,365,Anna,15.95
tirsdag,Minimælk,Mejeri,1,11.50,Rema 1000,Nikoline,11.50
tirsdag,Oliven,Snacks/slik,1,16.95,Rema 1000,Nikoline,16.95
tirsdag,Snack rolls,Snacks/slik,1,5.00,Rema 1000,Isabella,5.00
tirsdag,Mandler,Kolonial,1,29.00,Rema 1000,Isabella,29.00
tirsdag,Skyr med lemon,Mejeri,1,12.00,Rema 1000,Isabella,12.00
tirsdag,Øko broccoli,Frugt/grønt,1,16.00,Rema 1000,Anna,16.00
tirsdag,Hakket kyllingekød,Kød,1,29.00,Rema 1000,Anna,29.00
tirsdag,Kokosolie,Kolonial,1,19.95,Rema 1000,Anna,19.95
tirsdag,Puka te,Kolonial,1,29.00,Rema 1000,Anna,29.00
tirsdag,Mørk chokolade,Snacks/slik,1,12.00,Lidl,Anna,12.00
tirsdag,Bananer ,Frugt/grønt,4,2.00,Lidl,Anna,8.00
tirsdag,Havregryn,Kolonial,1,9.95,Lidl,Jonathan,9.95
tirsdag,Klovborg ost,Mejeri,2,20.00,Lidl,Jonathan,40.00
tirsdag,Knöppers,Snacks/slik,1,32.00,Lidl,Jonathan,32.00
tirsdag,Risifrutti Jordbær,Køl,3,8.00,Lidl,Jonathan,24.00
tirsdag,Choko müsli,Kolonial,1,23.95,Lidl,Jonathan,23.95
tirsdag,Tun I vand,Kolonial,2,7.75,Lidl,Jonathan,15.50
tirsdag,Nutella Biscuits,Snacks/slik,1,14.95,Lidl,Jonathan,15.35
onsdag,Sødmælk,Mejeri,1,14.00,Føtex,Camille,14.00
onsdag,Skyr,Mejeri,1,23.00,Føtex,Camille,23.00
onsdag,Frosne hindbær,Frost,1,16.00,Føtex,Camille,16.00
onsdag,Agurk,Frugt/grønt,1,8.00,Føtex,Camille,8.00
onsdag,Digestive choko,Snacks/slik,1,15.00,Føtex,Camille,15.00
onsdag,Hummus,Køl,1,23.00,Føtex,Camille,23.00
onsdag,Pærer,Frugt/grønt,1,25.00,Føtex,Camille,25.00
torsdag,Toiletpapir,Andet,1,20.00,365,Camille,20.00
torsdag,Skraldeposer,Andet,1,10.00,365,Camille,10.00
torsdag,Proteinbar,Snacks/slik,1,10.00,365,Camille,10.00
torsdag,Øko æg 10 stk,Køl,2,25.00,365,Jonathan,50.00
torsdag,Hvid Chokolade,Snacks/slik,2,15.95,365,Jonathan,32.00
torsdag,Hvedemel 2kg,Kolonial,1,16.95,365,Jonathan,16.95
torsdag,Sukker 1kg,Kolonial,1,11.90,365,Jonathan,11.90
torsdag,Kanel Gifflar,Snacks/slik,2,15.00,365,Jonathan,30.00
torsdag,Skyr,Mejeri,1,22.95,365,Jonathan,15.50
torsdag,Hindbær,Frugt/grønt,2,12.00,365,Jonathan,24.00
torsdag,Yoggi Yoghurt,Mejeri,1,12.00,365,Jonathan,12.00
torsdag,Bagepulver,Kolonial,1,8.50,365,Jonathan,8.50
torsdag,Lurpak smør,Kolonial,1,15.00,365,Jonathan,15.00
torsdag,Faxe kondi booster,Alkohol/soda,2,11.50,365,Jonathan,23.00
torsdag,Thise protein iskaffe,Mejeri,3,10.00,365,Jonathan,30.00
torsdag,Fettuccine spinat,Køl,1,9.00,365,Anna,9.00
torsdag,Krydderbaguetes ,Frost,1,14.95,365,Anna,14.95
torsdag,Parmesan ,Mejeri,1,41.95,365,Anna,41.95
torsdag,Champignon,Frugt/ grønt,1,7.00,365,Anna,7.00
torsdag,Bacontern,Kød,1,12.50,365,Anna,12.50
torsdag,Spaghetti,Køl,1,5.35,365,Anna,5.35
torsdag,Frilandsæg,Køl,1,32.95,365,Anna,32.95
fredag,Runda Kanel,Kolonial,1,28.95,Rema 1000,Isabella,28.95
fredag,Strømpebuks,Andet,1,39.00,Rema 1000,Isabella,39.00
fredag,Faxe kondi,Alkohol/soda,1,39.60,Rema 1000,Isabella,45.60
fredag,Mineralvand,Alkohol/soda,1,4.50,Rema 1000,Isabella,7.50
fredag,Minimælk,Mejeri,1,13.25,365,Anna,13.25
fredag,Øko løg,Frugt/ grønt,1,11.00,365,Anna,11.00
fredag,Revet ost,Mejeri,1,16.95,365,Anna,16.95
fredag,Tærtedej,Køl,1,11.95,365,Anna,11.95
fredag,Bacontern,Kød,1,12.50,365,Anna,12.50
fredag,Xtra cheddar,Mejeri,1,12.95,365,Anna,12.95
fredag,Mortadella Bologna,Mejeri,1,13.95,365,Anna,13.95
fredag,Limpan Brød,Brød,1,15.95,365,Anna,15.95
lørdag,Creme fraiche,Mejeri,1,11.25,365,Anna,11.25
lørdag,Dip,Snacks/slik,1,5.00,365,Anna,5.00
lørdag,Pepsi max,Alkohol/soda,1,16.00,Meny,Anna,16.00
lørdag,Faxe kondi,Alkohol/soda,1,16.00,Meny,Anna,16.00
lørdag,Lindt kugler,Snacks/slik,1,35.00,Meny,Anna,35.00
lørdag,Snack chips m. krydderi,Snacks/slik,1,20.00,Meny,Anna,20.00
lørdag,Snack chips,Snacks/slik,1,20.00,Meny,Anna,20.00
lørdag,Øko dild,Frugt/ grønt,1,5.00,Meny,Anna,5.00
lørdag,Varmrøget laks,Kød,2,45.00,Meny,Anna,90.00
lørdag,Hyldeblomst drik,Alkohol/soda,1,13.50,Meny,Anna,13.50
lørdag,Øko Æg,Køl,1,25.95,Meny,Anna,25.95
lørdag,Mayonnaise ,Mejeri,1,17.50,Meny,Anna,17.50
lørdag,Bacon,Kød,1,14.95,Rema 1000,Anna,14.95
lørdag,Leverpostej,Kød,1,29.95,Rema 1000,Anna,29.95
lørdag,Fiskefilet,Frost,1,34.95,Rema 1000,Anna,34.95
lørdag,Rejer,Kød,1,23.40,Rema 1000,Anna,23.40
lørdag,Laurbærblade,Kolonial,1,3.75,Rema 1000,Anna,3.75
lørdag,Hvide aspargers ,Kolonial,1,25.00,Rema 1000,Anna,25.00
lørdag,Fyrfadslys,Andet,1,30.00,Rema 1000,Anna,30.00
lørdag,Kakaomælk,Mejeri,1,12.00,Rema 1000,Anna,12.00
lørdag,Øko Remulade,Kolonial,1,15.50,Rema 1000,Anna,15.50
lørdag,Appelsiner,Frugt/grønt,2,3.50,Rema 1000,Anna,7.00
lørdag,Brune svampe,Frugt/grønt,1,17.00,Rema 1000,Anna,17.00
lørdag,Kyllingebrystfilet,Kød,1,34.95,Rema 1000,Anna,34.95
lørdag,Kærgården ,Mejeri,1,15.00,Rema 1000,Anna,15.00
lørdag,Øko æg,Køl,1,25.50,Rema 1000,Anna,25.50
lørdag,Karse,Frugt/ grønt,1,5.55,Rema 1000,Anna,5.55
lørdag,Tarteletter,Kolonial,1,14.75,Rema 1000,Anna,14.75
lørdag,Smoothie,Alkohol/soda,1,10.00,Rema 1000,Isabella,11.50
lørdag,Pastasalat,Andet,1,15.00,Rema 1000,Isabella,15.00
lørdag,Kanel Gifflar,Snacks/slik,1,20.25,Rema 1000,Isabella,20.25
lørdag,Frysepizza,Frost,2,49.95,Føtex,Nikoline,99.90
lørdag,Hårspray,Andet,1,45.95,Føtex,Nikoline,45.00
lørdag,Minimælk,Mejeri,2,11.50,Netto,Nikoline,23.00
lørdag,Coca cola,Alkohol/soda,1,12.50,Netto,Nikoline,23.00
mandag,Skyr vanilje,Mejeri,1,9.50,Rema 1000,Isabella,9.50
mandag,Solsikkerugbrød,Brød,1,8.95,Rema 1000,Isabella,8.95
mandag,Kalkun Bacon,Kød,1,10.00,Rema 1000,Isabella,10.00
mandag,Mælk,Mejeri,1,12.50,365,Nikoline,12.50
mandag,Afløbsrens,Andet,1,12.95,365,Nikoline,12.95
mandag,Rugbrød,Brød,1,25.50,365,Nikoline,25.50
mandag,Smør,Mejeri,1,10.50,365,Nikoline,10.50
mandag,Affaldspose,Andet,1,9.95,365,Nikoline,9.95
mandag,Ost,Mejeri,1,25.00,365,Nikoline,25.00
mandag,Spegepølse,Kød,1,18.95,365,Nikoline,18.95
mandag,Kyllinge pålæg,Kød,1,18.95,365,Nikoline,18.95
mandag,Æg,Køl,1,31.50,365,Nikoline,31.50
mandag,Champignon,Frugt/grønt,1,16.30,Føtex,Isabella,16.30
mandag,ØKO salatmix,Frugt/grønt,1,10.00,Føtex,Isabella,10.00
mandag,Castello Brie m. trøffel,Mejeri,1,20.00,Føtex,Isabella,20.00
mandag,Mozzarella,Mejeri,1,8.50,Føtex,Isabella,8.50
mandag,Grov cafe sandwitch,Brød,1,23.95,Føtex,Isabella,23.95
mandag,Svansø trøffel mayo,Kolonial,1,20.95,Føtex,Isabella,20.95
mandag,Vabelplaster,Andet,1,31.95,Føtex,Isabella,31.95
mandag,Fladbrød,Brød,1,13.95,Lidl,Anna,13.95
mandag,Rødløg,Frugt/grønt,1,12.00,Lidl,Anna,12.00
mandag,Affaldspose,Andet,1,6.50,Lidl,Anna,5.50
mandag,Avocado,Frugt/grønt,1,35.00,Meny,Anna,35.00
mandag,Mayonaise,Mejeri,1,16.50,Meny,Anna,16.50
mandag,Grillost,Mejeri,2,29.50,Meny,Anna,59.90
mandag,Spidskål,Frugt/grønt,1,26.00,Meny,Anna,26.00
tirsdag,Kiwi,Frugt/grønt,3,4.00,Rema 1000,Camille,12.00
tirsdag,Rød peberfrugt,Frugt/grønt,1,7.25,Rema 1000,Camille,7.25
tirsdag,Hjertesalat,Frugt/grønt,1,13.00,Rema 1000,Camille,13.00
tirsdag,Agurk,Frugt/grønt,1,10.50,Rema 1000,Camille,10.50
tirsdag,Kyllingestrimler,Kød,1,20.00,Rema 1000,Camille,20.00
tirsdag,Fryseposer 2l,Andet,1,4.00,Rema 1000,Camille,4.00
tirsdag,Fryseposer 4 l,Andet,1,14.00,Rema 1000,Camille,14.00
tirsdag,Tortillas,Kolonial,1,10.50,Rema 1000,Camille,10.50
tirsdag,Avokado dressing,Kolonial,1,14.50,Rema 1000,Camille,14.50
onsdag,Hyldeblomst saft,Alkohol/soda,1,19.25,365,Nikoline,19.25
onsdag,Plastikpose,Andet,1,6.25,365,Nikoline,6.25
onsdag,Agurk,Frugt/grønt,1,10.50,365,Nikoline,10.50
onsdag,Pitabrød,Brød,1,5.95,365,Nikoline,5.95
onsdag,Rødløg,Frugt/grønt,1,9.00,365,Nikoline,9.00
onsdag,Kyllinge kebab,Frost,1,31.95,365,Nikoline,31.95
onsdag,Skagenslapper,Frost,1,16.95,365,Nikoline,16.95
onsdag,Ricotta,Mejeri,1,12.50,365,Nikoline,12.50
onsdag,Tomater,Frugt/grønt,1,15.00,365,Nikoline,15.00
onsdag,Tun I vand,Kolonial,1,38.00,365,Nikoline,38.00
onsdag,Mathilde kakao,Mejeri,1,7.95,365,Nikoline,7.95
onsdag,Instant kaffe,Kolonial,1,35.75,365,Nikoline,35.75
onsdag,Oliven,Kolonial,1,23.95,365,Nikoline,23.95
onsdag,Citronmåne,Snacks/slik,1,20.00,Rema 1000,Isabella,20.00
onsdag,Blomsterkort,Andet,1,5.00,Rema 1000,Isabella,5.00
onsdag,Lagkagediagram,Andet,1,10.00,Rema 1000,Isabella,10.00
onsdag,Pepsi Max,Alkohol/soda,1,16.00,Meny,Anna,16.00
onsdag,Grillost,Mejeri,1,16.00,Meny,Anna,16.00
